,Time,Voltage
1024,84.61527,0.06037805
1025,84.69791,0.06031155
1026,84.78054,0.06025081
1027,84.86317,0.06018772
1028,84.94579,0.06013037
1029,85.02842,0.06006507
1030,85.11104,0.06000426
1031,85.1937,0.0599435
1032,85.27631,0.05988278
1033,85.35892,0.05982772
1034,85.44156,0.05976352
1035,85.52419,0.05970506
1036,85.60684,0.05964999
1037,85.68946,0.05959157
1038,85.7721,0.05953768
1039,85.85473,0.05948034
1040,85.93738,0.05941841
1041,86.02002,0.05937138
1042,86.10265,0.05931634
1043,86.18529,0.05927511
1044,86.26791,0.05921433
1045,86.35055,0.05916277
1046,86.43318,0.05911347
1047,86.51583,0.05906074
1048,86.59845,0.05901259
1049,86.68109,0.05895753
1050,86.7637,0.05890709
1051,86.84633,0.05885434
1052,86.92897,0.0588073
1053,87.01161,0.05875802
1054,87.09425,0.05870643
1055,87.17688,0.05865257
1056,87.25951,0.05859869
1057,87.34213,0.05856314
1058,87.42477,0.05852187
1059,87.50741,0.05847027
1060,87.59006,0.05842558
1061,87.67269,0.05837969
1062,87.75534,0.05833156
1063,87.83798,0.05829028
1064,87.9206,0.05824671
1065,88.00325,0.05821346
1066,88.08588,0.05816986
1067,88.1685,0.05812288
1068,88.25113,0.05808737
1069,88.33374,0.05804493
1070,88.41637,0.0580036
1071,88.49901,0.0579612
1072,88.58165,0.05793253
